Country (or dependency),Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
Puerto Rico,Puerto Rico,2846860,2774305,8870,-97986.0,,44.0,72555,2.5485974020499778,Low
Lithuania,Lithuania,2715340,2678002,62674,-32780.0,,45.0,37338,1.375076417686183,Low
Bulgaria,Bulgaria,6939018,6887344,108560,-4800.0,,45.0,51674,0.7446875047737302,Low
Bosnia and Herzegovina,Bosnia and Herzegovina,3277152,3256971,51000,-21585.0,,43.0,20181,0.6158090927732373,Low
Ukraine,Ukraine,43686577,43426701,579320,10000.0,,41.0,259876,0.5948646422904683,Low
Saint Pierre & Miquelon,Saint Pierre & Miquelon,5789,5761,230,,,,28,0.48367593712212814,Low
Serbia,Serbia,8731081,8696217,87460,4000.0,,42.0,34864,0.3993090889890954,Low
Japan,Japan,126407422,126023582,364555,71560.0,,48.0,383840,0.30365305606817933,Low
Venezuela,Venezuela,28421581,28341692,882050,-653249.0,,30.0,79889,0.28108570033454505,Low
Moldova,Moldova,4032294,4022994,32850,-1387.0,,38.0,9300,0.23063794455463812,Low
Georgia,Georgia,3987805,3980207,69490,-10000.0,,38.0,7598,0.19053088102352045,Low
Italy,Italy,60446035,60357786,294140,148943.0,,47.0,88249,0.1459963420264042,Low
Albania,Albania,2877239,2874119,27400,-14000.0,,36.0,3120,0.10843729005480601,Low
Cuba,Cuba,11325391,11318524,106440,-14400.0,,42.0,6867,0.06063366818858616,Low
Gibraltar,Gibraltar,33689,33679,10,,,,10,0.029683279408709077,High
Montenegro,Montenegro,628080,628159,13450,-480.0,,39.0,-79,-0.012578015539421731,Low
Guadeloupe,Guadeloupe,400136,400204,1690,-1440.0,,44.0,-68,-0.01699422196453206,Low
Russia,Russia,145945524,146007730,16376870,182456.0,,40.0,-62206,-0.042622752856743995,Low
Montserrat,Montserrat,4993,4996,100,,,,-3,-0.06008411776487082,Low
South Korea,South Korea,51276977,51320854,97230,11731.0,,44.0,-43877,-0.08556861688628797,High
Barbados,Barbados,287437,287787,430,-79.0,,40.0,-350,-0.1217658130303336,High
Andorra,Andorra,77287,77410,470,,,,-123,-0.15914707518728893,Low
Greenland,Greenland,56787,56885,410450,,,,-98,-0.17257470900029936,Low
Czech Republic (Czechia),Czech Republic (Czechia),10712481,10732253,77240,22011.0,,43.0,-19772,-0.1845697555962993,Low
San Marino,San Marino,33944,34015,60,,,,-71,-0.20916804148008483,High
France,France,65298930,65442713,547557,36527.0,,42.0,-143783,-0.22019196945493597,Low
Holy See,Holy See,801,803,0,,,,-2,-0.24968789013732834,High
Malta,Malta,441750,442921,320,900.0,,43.0,-1171,-0.2650820599886814,High
Saint Helena,Saint Helena,6080,6098,390,,,,-18,-0.2960526315789474,Low
St. Vincent & Grenadines,St. Vincent & Grenadines,111002,111353,390,-200.0,,33.0,-351,-0.31621051872939226,Low
Trinidad and Tobago,Trinidad and Tobago,1400283,1404798,5130,-800.0,,36.0,-4515,-0.3224348221038176,Low
Denmark,Denmark,5795780,5816106,42430,15200.0,,42.0,-20326,-0.35070344284979765,Low
China,China,1440297825,1445837915,9388211,-348399.0,,38.0,-5540090,-0.38464891801110646,Low
Sri Lanka,Sri Lanka,21428970,21518486,62710,-97986.0,,34.0,-89516,-0.41773356348905244,Low
Belgium,Belgium,11598451,11648746,30280,48000.0,,42.0,-50295,-0.43363549149795955,Low
North Korea,North Korea,25798588,25911243,120410,-5403.0,,35.0,-112655,-0.4366711852602166,Low
Grenada,Grenada,112614,113134,340,-200.0,,32.0,-520,-0.46175431118688615,Low
Guyana,Guyana,787215,791001,196850,-6000.0,,27.0,-3786,-0.4809359577751949,Low
United Kingdom,United Kingdom,67948282,68304121,241930,260650.0,,40.0,-355839,-0.5236909448277147,Low
Austria,Austria,9015361,9066657,82409,65000.0,,43.0,-51296,-0.5689844255820704,Low
United States,United States,331341050,333278784,9147420,954806.0,,38.0,-1937734,-0.5848155548489992,Low
Seychelles,Seychelles,98453,99061,460,-200.0,,34.0,-608,-0.6175535534722152,Low
Nauru,Nauru,10836,10904,20,,,,-68,-0.6275378368401624,High
Samoa,Samoa,198643,199960,2830,-2803.0,,22.0,-1317,-0.6629984444455631,Low
